timestamp,log_type,user,account,hostname,device_type,location,department,file_accessed,ip_address,is_anomaly
2024-01-01T02:21:00,file_access,operations_user19,Operations,WS-074,workstation,Remote_VPN,Operations,bank,200.95.208.157,1
2024-01-01T03:04:00,file_access,hr_user19,HR,WS-012,server,Remote_VPN,HR,employee_records,42.144.84.55,1
2024-01-01T08:04:00,firewall_log,operations_user16,Operations,WS-054,workstation,NYC_HQ,Operations,orders,150.237.31.6,0
2024-01-01T08:09:00,file_access,support_user02,Support,WS-099,workstation,London,Support,customer_inquiries,35.122.194.14,0
2024-01-01T08:35:00,file_access,operations_user16,Operations,WS-009,workstation,NYC_HQ,Operations,schedules,183.196.139.247,0
2024-01-01T09:04:00,windows_security_event,support_user02,Support,WS-091,workstation,NYC_HQ,Support,calendars,30.236.84.215,0
2024-01-01T09:30:00,windows_security_event,sales_user15,Sales,WS-089,workstation,Remote_VPN,Sales,customer_db,180.176.219.154,0
2024-01-01T09:33:00,windows_security_event,sales_user18,Sales,WS-020,workstation,NYC_HQ,Sales,marketing,59.108.130.82,0
2024-01-01T09:36:00,windows_security_event,operations_user06,Operations,WS-076,workstation,NYC_HQ,Operations,orders,200.70.148.166,0
2024-01-01T09:40:00,firewall_log,support_user03,Support,WS-089,workstation,London,Support,shared,36.99.198.92,0
2024-01-01T09:46:00,windows_security_event,finance_user16,Finance,WS-009,workstation,NYC_HQ,Finance,invoices,21.193.204.206,0
2024-01-01T09:52:00,file_access,finance_user13,Finance,WS-099,workstation,NYC_HQ,Finance,invoices,26.129.207.160,0
2024-01-01T09:55:00,firewall_log,finance_user15,Finance,WS-056,workstation,NYC_HQ,Finance,invoices,23.112.190.220,0
2024-01-01T10:00:00,firewall_log,hr_user13,HR,WS-038,workstation,NYC_HQ,HR,employee_records,117.9.124.228,0
2024-01-01T10:05:00,vpn_connection,finance_user06,Finance,WS-017,workstation,London,Finance,employee_records,190.127.220.52,1
2024-01-01T10:17:00,windows_security_event,finance_user15,Finance,WS-083,workstation,NYC_HQ,Finance,payroll,161.182.50.5,0
2024-01-01T10:40:00,file_access,sales_user03,Sales,WS-037,workstation,London,Sales,customer_db,14.192.135.214,0
2024-01-01T10:42:00,windows_security_event,finance_user06,Finance,WS-024,workstation,NYC_HQ,Finance,payroll,1.161.137.150,0
2024-01-01T10:45:00,firewall_log,sales_user14,Sales,WS-033,workstation,London,Sales,crm,179.54.112.195,0
2024-01-01T11:12:00,windows_security_event,finance_user15,Finance,WS-039,workstation,NYC_HQ,Finance,accounting,32.44.220.3,0
2024-01-01T11:33:00,file_access,sales_user03,Sales,WS-024,workstation,London,Sales,crm,31.221.155.138,0
2024-01-01T11:35:00,file_access,sales_user15,Sales,WS-007,workstation,NYC_HQ,Sales,marketing,29.244.205.3,0
2024-01-01T12:13:00,windows_security_event,finance_user06,Finance,WS-079,workstation,NYC_HQ,Finance,invoices,51.151.99.196,0
2024-01-01T12:25:00,windows_security_event,support_user11,Support,WS-056,workstation,NYC_HQ,Support,customer_inquiries,119.236.252.34,0
2024-01-01T12:36:00,firewall_log,sales_user15,Sales,WS-026,workstation,London,Sales,customer_db,62.76.138.46,0
2024-01-01T12:41:00,firewall_log,sales_user07,Sales,WS-048,workstation,NYC_HQ,Sales,customer_db,76.188.101.54,0
2024-01-01T12:45:00,windows_security_event,finance_user19,Finance,WS-090,workstation,NYC_HQ,Finance,bank,4.183.104.25,0
2024-01-01T12:50:00,windows_security_event,finance_user20,Finance,WS-051,workstation,NYC_HQ,Finance,accounting,111.254.90.75,0
2024-01-01T12:54:00,windows_security_event,owner_user20,Owner,WS-017,workstation,Remote_VPN,Owner,hr,216.91.223.249,0
2024-01-01T13:47:00,firewall_log,support_user04,Support,WS-086,workstation,London,Support,customer_inquiries,20.222.221.172,0
2024-01-01T14:11:00,windows_security_event,finance_user14,Finance,WS-006,workstation,NYC_HQ,Finance,payroll,111.7.79.235,0
2024-01-01T14:14:00,firewall_log,finance_user01,Finance,WS-044,workstation,NYC_HQ,Finance,bank,137.90.79.132,0
2024-01-01T14:28:00,firewall_log,owner_user06,Owner,WS-077,workstation,London,Owner,hr,130.139.32.159,0
2024-01-01T14:38:00,file_access,sales_user19,Sales,WS-073,workstation,Remote_VPN,Sales,crm,156.5.90.79,0
2024-01-01T14:40:00,windows_security_event,finance_user04,Finance,WS-042,workstation,NYC_HQ,Finance,payroll,32.173.79.79,0
2024-01-01T14:55:00,windows_security_event,operations_user19,Operations,WS-061,workstation,NYC_HQ,Operations,inventory,155.154.205.46,0
2024-01-01T15:02:00,firewall_log,support_user07,Support,WS-007,workstation,London,Support,calendars,122.220.115.183,0
2024-01-01T15:08:00,windows_security_event,sales_user06,Sales,WS-009,workstation,Remote_VPN,Sales,marketing,201.116.78.164,0
2024-01-01T15:09:00,vpn_connection,sales_user12,Sales,WS-058,server,London,Sales,crm,208.126.169.206,1
2024-01-01T15:10:00,file_access,support_user11,Support,WS-041,workstation,NYC_HQ,Support,calendars,8.83.143.191,0
2024-01-01T15:31:00,file_access,finance_user01,Finance,WS-049,workstation,NYC_HQ,Finance,payroll,219.228.3.61,0
2024-01-01T15:46:00,firewall_log,sales_user03,Sales,WS-016,workstation,NYC_HQ,Sales,marketing,128.68.30.15,0
2024-01-01T15:50:00,firewall_log,finance_user03,Finance,WS-030,workstation,NYC_HQ,Finance,accounting,191.120.220.36,0
2024-01-01T16:30:00,file_access,sales_user07,Sales,WS-038,workstation,London,Sales,marketing,182.35.235.169,0
2024-01-01T16:31:00,firewall_log,support_user13,Support,WS-063,workstation,London,Support,shared,3.42.105.215,0
2024-01-01T16:38:00,firewall_log,support_user14,Support,WS-081,workstation,London,Support,calendars,168.93.176.208,0
2024-01-01T17:17:00,firewall_log,sales_user05,Sales,WS-007,workstation,London,Sales,marketing,123.181.142.199,0
2024-01-01T17:32:00,firewall_log,support_user04,Support,WS-081,workstation,London,Support,calendars,95.104.190.210,0
2024-01-01T17:33:00,file_access,support_user20,Support,WS-078,workstation,NYC_HQ,Support,customer_inquiries,13.159.187.70,0
2024-01-01T17:43:00,file_access,support_user13,Support,WS-002,workstation,London,Support,customer_inquiries,177.103.107.223,0
2024-01-01T17:51:00,windows_security_event,finance_user07,Finance,WS-064,workstation,NYC_HQ,Finance,accounting,1.141.22.69,0
2024-01-01T17:52:00,file_access,operations_user07,Operations,WS-003,workstation,NYC_HQ,Operations,inventory,199.219.8.130,0
2024-01-01T17:54:00,firewall_log,finance_user15,Finance,WS-056,workstation,NYC_HQ,Finance,accounting,177.72.87.199,0
2024-01-01T18:21:00,windows_security_event,sales_user11,Sales,WS-070,workstation,Remote_VPN,Sales,customer_db,33.124.194.241,0
2024-01-01T18:24:00,firewall_log,owner_user11,Owner,WS-094,workstation,London,Owner,financial,78.246.240.39,0
2024-01-01T18:36:00,file_access,operations_user06,Operations,WS-099,workstation,NYC_HQ,Operations,inventory,161.194.66.32,0
2024-01-01T18:42:00,windows_security_event,sales_user06,Sales,WS-070,workstation,Remote_VPN,Sales,customer_db,192.49.228.151,0
2024-01-02T08:18:00,windows_security_event,sales_user11,Sales,WS-026,workstation,NYC_HQ,Sales,customer_db,103.229.28.186,0
2024-01-02T08:57:00,file_access,support_user18,Support,WS-061,workstation,London,Support,calendars,191.180.182.201,0
2024-01-02T09:01:00,firewall_log,finance_user16,Finance,WS-084,workstation,NYC_HQ,Finance,invoices,99.132.52.210,0
2024-01-02T09:05:00,firewall_log,sales_user08,Sales,WS-053,workstation,Remote_VPN,Sales,crm,55.72.104.141,0
2024-01-02T09:07:00,firewall_log,sales_user15,Sales,WS-043,workstation,London,Sales,customer_db,20.206.170.108,0
